temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,rosseland_cm2_g,planck_cm2_g,free_electrons,avg_sq_free_electrons
0.002,3.3516,3.3516,false,120990,124460,0.99951,0.99951
0.002,3.9442,3.9442,false,106440,109030,0.99999,0.99999
0.002,4.6416,4.6416,false,94030,96002,1,1
0.002,5.4623,5.4623,false,82278,83736,1,1
0.002,6.4281,6.4281,false,72262,73350,1,1
0.002,7.5646,7.5646,false,63003,63824,1,1
0.002,8.9022,8.9022,false,54814,55412,1,1
0.002,10.476,10.476,false,46929,47362,1,1
0.002,12.328,12.328,false,40345,40660,1,1
0.002,14.508,14.508,false,34662,34892,1,1
0.002,17.074,17.074,false,30184,30365,1,1
0.002,20.092,20.092,false,26359,26506,1,1
0.002,23.645,23.645,false,23229,23341,1,1
0.002,27.826,27.826,false,20595,20682,1,1
0.002,32.745,32.745,false,18193,18259,1,1
0.002,38.535,38.535,false,16101,16152,1,1
0.002,45.349,45.349,false,14008,14048,1,1
0.002,53.367,53.367,false,12067,12098,1,1
0.002,62.803,62.803,false,10259,10283,1,1
0.002,73.907,73.907,false,8718.7,8737,1,1
0.002,86.975,86.975,false,7524.2,7537.8,1,1
0.002,102.35,102.35,false,6501.5,6511.7,1,1
0.002,120.45,120.45,false,5520.2,5526.9,1,1
0.002,141.75,141.75,false,4985.9,4991.1,1,1
0.002,166.81,166.81,false,4421,4425.1,1,1
0.002,196.3,196.3,false,3854.6,3857.8,1,1
0.002,231.01,231.01,false,3331.2,3333.6,1,1
0.002,271.86,271.86,false,2859.8,2861.6,1,1
0.002,319.93,319.93,false,2471.9,2473.3,1,1
0.002,376.49,376.49,false,2098,2099,1,1
0.002,443.06,443.06,false,1789.1,1789.9,1,1
0.002,521.4,521.4,false,1510.8,1511.3,1,1
0.002,613.59,596.2,true,1337.3,1337.7,1,1
0.002,722.08,596.2,true,1337.3,1337.7,1,1
0.002,849.75,596.2,true,1337.3,1337.7,1,1
0.002,1000,596.2,true,1337.3,1337.7,1,1
0.0025,0.0001,0.0001,false,23743,255170,0.76912,0.76912
0.0025,0.00011768,0.00011768,false,27009,282310,0.7406,0.7406
0.0025,0.00013849,0.00013849,false,29433,300980,0.72252,0.72252
0.0025,0.00016298,0.00016298,false,31601,316870,0.70834,0.70834
0.0025,0.00019179,0.00019179,false,34106,335570,0.69164,0.69164
0.0025,0.0002257,0.0002257,false,37012,357570,0.67199,0.67199
0.0025,0.00026561,0.00026561,false,40392,383470,0.64887,0.64887
0.0025,0.00031257,0.00031257,false,44333,413950,0.62166,0.62166
0.0025,0.00036784,0.00036784,false,48934,449830,0.58963,0.58963
0.0025,0.00043288,0.00043288,false,54316,492050,0.55195,0.55195
